carrier_name,route,shipment_date,delay_minutes,sla_breach_minutes,disruption_cost,total_additional_cost,cargo_value,weight_kg
MSC,Rotterdam-New_York,2024-12-15,2880.0,0.0,0.0,1117.47,3467.48,17290.03
UPS,Los_Angeles-Tokyo,2025-07-04,0.0,0.0,0.0,1493.81,14548.04,14489.78
Kuehne_Nagel,Hong_Kong-Tokyo,2025-06-08,2880.0,0.0,0.0,719.29,22032.23,588.23
Maersk,Shanghai-Los_Angeles,2025-06-28,0.0,0.0,0.0,972.65,29520.37,18347.84
CMA_CGM,Dubai-London,2025-04-28,11520.0,7200.0,3000.0,3362.38,30074.68,15712.31
FedEx,Rotterdam-New_York,2025-03-10,2880.0,0.0,0.0,762.33,36434.16,12868.33
Maersk,Mumbai-Dubai,2024-12-23,1440.0,0.0,0.0,0.0,37733.21,14829.3
UPS,Hong_Kong-Tokyo,2025-03-22,1440.0,0.0,0.0,0.0,4241.48,2240.87
MSC,New_York-Hamburg,2025-05-15,0.0,0.0,0.0,1058.12,26127.07,17745.32
CMA_CGM,Singapore-Hamburg,2025-01-15,0.0,0.0,0.0,1160.66,18437.11,356.2
Maersk,Hong_Kong-Tokyo,2025-08-09,4320.0,0.0,0.0,2405.5,33768.08,5994.89
FedEx,London-Singapore,2025-09-01,-237.0,0.0,0.0,0.0,6932.5,10943.38
FedEx,Shanghai-Rotterdam,2024-10-01,8640.0,1440.0,600.0,1596.67,41747.78,19296.62
DHL,New_York-Hamburg,2025-07-20,1440.0,0.0,0.0,1000.98,50101.52,11632.99
DHL,Singapore-Hamburg,2025-08-07,5760.0,0.0,0.0,1292.41,18318.99,11525.52
COSCO,Dubai-London,2024-11-30,4320.0,0.0,0.0,752.63,75918.48,4159.26
UPS,Shanghai-Los_Angeles,2025-06-27,0.0,0.0,0.0,0.0,23987.47,12545.26
Kuehne_Nagel,Rotterdam-New_York,2025-03-12,-1423.0,0.0,0.0,539.93,43444.71,5210.83
Maersk,Singapore-Hamburg,2025-02-08,0.0,0.0,0.0,738.59,71133.18,15293.05
Maersk,London-Singapore,2025-01-14,0.0,0.0,0.0,117.96,5186.79,16993.66
Kuehne_Nagel,Shanghai-Rotterdam,2024-11-28,-454.0,0.0,0.0,1599.06,19662.44,17677.0
COSCO,Shanghai-Rotterdam,2024-12-21,4320.0,0.0,0.0,3019.59,29183.82,19018.68
MSC,Shanghai-Los_Angeles,2025-07-22,0.0,0.0,0.0,1405.59,27352.68,4174.95
MSC,New_York-Hamburg,2025-02-06,2880.0,0.0,0.0,417.12,7567.16,3951.26
COSCO,Singapore-Hamburg,2024-11-07,0.0,0.0,0.0,1034.3,14828.2,12095.18
MSC,Singapore-Hamburg,2024-11-04,-1223.0,0.0,0.0,908.78,23811.84,8820.37
DHL,Rotterdam-New_York,2025-02-23,0.0,0.0,0.0,0.0,104168.28,18263.02
Maersk,Singapore-Hamburg,2024-11-05,-1215.0,0.0,0.0,366.15,34092.03,15144.57
COSCO,Mumbai-Dubai,2025-02-15,0.0,0.0,0.0,0.0,18447.84,11488.23
Maersk,London-Singapore,2025-08-24,4320.0,0.0,0.0,562.05,10379.85,18686.65
Kuehne_Nagel,Dubai-London,2025-02-09,0.0,0.0,0.0,863.69,61121.55,6115.72
FedEx,Rotterdam-New_York,2025-05-21,0.0,0.0,0.0,517.04,36540.19,7125.87
DHL,Los_Angeles-Tokyo,2025-01-09,7200.0,1440.0,1200.0,1955.06,6578.47,10590.12
CMA_CGM,Shanghai-Los_Angeles,2025-08-08,2880.0,0.0,0.0,2779.97,8677.27,12633.12
DHL,London-Singapore,2024-10-15,-508.0,0.0,0.0,1475.18,14740.9,14146.11
COSCO,Los_Angeles-Tokyo,2025-07-09,-917.0,0.0,0.0,1078.19,3573.09,12015.15
CMA_CGM,Rotterdam-New_York,2025-03-26,-1195.0,0.0,0.0,645.3,18731.58,17032.49
FedEx,New_York-Hamburg,2025-04-25,-70.0,0.0,0.0,660.06,14068.56,5106.19
COSCO,Dubai-London,2024-11-16,4320.0,0.0,0.0,0.0,30629.71,19326.99
UPS,Dubai-London,2025-09-22,-144.0,0.0,0.0,830.06,43323.23,4760.96
Maersk,Shanghai-Rotterdam,2025-02-23,2880.0,0.0,0.0,180.45,12086.6,718.6
FedEx,Singapore-Hamburg,2024-10-29,1440.0,0.0,0.0,263.53,134704.12,10946.04
Maersk,London-Singapore,2025-05-01,0.0,0.0,0.0,0.0,229844.78,5079.17
MSC,Singapore-Hamburg,2025-01-20,5760.0,1440.0,1200.0,2626.51,2338.73,1802.96
UPS,Dubai-London,2025-08-17,0.0,0.0,0.0,504.25,25654.15,4637.43
UPS,London-Singapore,2025-05-31,0.0,0.0,0.0,387.84,61796.67,4716.88
FedEx,Singapore-Hamburg,2025-05-27,1440.0,0.0,0.0,779.28,18860.11,19950.35
UPS,London-Singapore,2025-09-07,0.0,0.0,0.0,468.62,22806.78,9056.59
CMA_CGM,Los_Angeles-Tokyo,2025-08-29,0.0,0.0,0.0,178.41,13089.36,13679.84
UPS,New_York-Hamburg,2025-02-16,1440.0,0.0,0.0,499.09,53329.25,7917.22
Maersk,Hong_Kong-Tokyo,2025-05-11,0.0,0.0,0.0,0.0,8302.72,12495.86
Maersk,Singapore-Hamburg,2024-12-12,-909.0,0.0,0.0,2657.91,3882.42,2580.72
COSCO,Shanghai-Rotterdam,2025-06-29,-757.0,0.0,0.0,0.0,8184.09,19857.87
Maersk,Singapore-Hamburg,2024-10-26,-1120.0,0.0,0.0,1061.97,3690.02,12741.89
COSCO,Mumbai-Dubai,2024-10-16,-118.0,0.0,0.0,74.17,83697.35,6933.01
Maersk,Dubai-London,2025-06-12,-1005.0,0.0,0.0,0.0,9967.74,11324.19
CMA_CGM,Shanghai-Rotterdam,2024-12-26,4320.0,0.0,0.0,643.63,12733.03,7481.56
Kuehne_Nagel,Mumbai-Dubai,2025-07-26,1440.0,0.0,0.0,1319.74,82837.9,8212.93
COSCO,Shanghai-Rotterdam,2025-01-19,8640.0,1440.0,1800.0,2859.9,28635.57,4852.81
DHL,Dubai-London,2024-10-29,0.0,0.0,0.0,1203.67,80641.73,15732.36
MSC,Mumbai-Dubai,2025-08-27,1440.0,0.0,0.0,2286.18,55068.36,2770.52
FedEx,London-Singapore,2024-12-28,1440.0,0.0,0.0,1149.38,76944.33,8434.4
Maersk,Shanghai-Rotterdam,2025-08-31,5760.0,0.0,0.0,1323.94,34294.73,16837.16
UPS,London-Singapore,2024-11-07,2880.0,0.0,0.0,0.0,64504.52,13901.29
Kuehne_Nagel,Los_Angeles-Tokyo,2025-02-23,0.0,0.0,0.0,2301.24,7713.47,15851.07
Maersk,London-Singapore,2025-01-14,4320.0,0.0,0.0,758.93,185385.0,4010.65
UPS,New_York-Hamburg,2025-03-24,5760.0,2880.0,1200.0,2230.55,12793.19,15817.46
MSC,Singapore-Hamburg,2025-06-02,-1010.0,0.0,0.0,859.65,24239.54,13922.66
MSC,Hong_Kong-Tokyo,2025-08-18,1440.0,0.0,0.0,624.11,8409.65,3884.41
MSC,London-Singapore,2025-02-17,-464.0,0.0,0.0,84.49,27438.64,8350.15
UPS,Singapore-Hamburg,2024-12-01,0.0,0.0,0.0,896.57,25104.34,15887.66
Maersk,Hong_Kong-Tokyo,2025-02-19,2880.0,0.0,0.0,350.87,45105.11,8898.0
MSC,Rotterdam-New_York,2025-02-13,0.0,0.0,0.0,1908.33,32751.81,16347.6
CMA_CGM,Singapore-Hamburg,2024-12-19,2880.0,0.0,0.0,0.0,16224.62,10076.97
COSCO,Shanghai-Rotterdam,2025-06-16,-1127.0,0.0,0.0,1729.3,4118.64,8115.6
UPS,Los_Angeles-Tokyo,2025-01-10,-638.0,0.0,0.0,0.0,55606.46,18451.57
UPS,Hong_Kong-Tokyo,2025-06-28,-1362.0,0.0,0.0,0.0,45651.68,9322.72
Maersk,Singapore-Hamburg,2025-09-27,2880.0,0.0,0.0,590.9,37833.1,3163.74
UPS,Dubai-London,2025-06-21,2880.0,0.0,0.0,0.0,39773.74,7395.81
UPS,Singapore-Hamburg,2025-06-07,1440.0,0.0,0.0,1708.5,40747.74,19604.43
MSC,Singapore-Hamburg,2024-10-26,-433.0,0.0,0.0,0.0,20408.17,3373.87
Maersk,New_York-Hamburg,2025-05-23,7200.0,1440.0,2400.0,2400.0,35266.63,15363.12
MSC,Dubai-London,2025-06-02,0.0,0.0,0.0,431.98,48941.93,8834.75
COSCO,Mumbai-Dubai,2024-12-04,5760.0,1440.0,2400.0,2797.78,28044.07,14472.92
Kuehne_Nagel,Singapore-Hamburg,2025-04-24,-1031.0,0.0,0.0,495.76,17063.03,6300.79
COSCO,Los_Angeles-Tokyo,2025-07-09,0.0,0.0,0.0,1143.85,14938.14,1910.49
Kuehne_Nagel,Dubai-London,2025-01-02,0.0,0.0,0.0,585.96,36463.23,10546.46
MSC,Los_Angeles-Tokyo,2024-12-01,4320.0,1440.0,600.0,1864.24,2596.96,13307.84
COSCO,Rotterdam-New_York,2025-03-27,5760.0,0.0,0.0,510.5,133508.69,11741.98
Maersk,New_York-Hamburg,2025-02-23,8640.0,2880.0,4800.0,5798.59,13889.28,4876.11
FedEx,Rotterdam-New_York,2025-01-11,1440.0,0.0,0.0,652.17,37334.36,18460.74
MSC,Singapore-Hamburg,2025-09-23,0.0,0.0,0.0,0.0,7045.41,6027.38
Kuehne_Nagel,Singapore-Hamburg,2025-06-04,1440.0,0.0,0.0,0.0,39290.72,12661.69
CMA_CGM,Hong_Kong-Tokyo,2025-06-23,-308.0,0.0,0.0,0.0,13961.52,4232.16
Kuehne_Nagel,Singapore-Hamburg,2025-05-03,2880.0,0.0,0.0,1390.24,12290.26,3825.2
CMA_CGM,Los_Angeles-Tokyo,2024-12-23,5760.0,0.0,0.0,975.3,225647.25,16455.07
UPS,London-Singapore,2025-06-21,-855.0,0.0,0.0,943.37,24969.51,17213.19
COSCO,Shanghai-Rotterdam,2025-02-01,0.0,0.0,0.0,1807.59,72154.79,3667.14
CMA_CGM,Shanghai-Los_Angeles,2025-08-22,2880.0,0.0,0.0,389.11,78813.01,5035.58
Kuehne_Nagel,Mumbai-Dubai,2025-07-24,0.0,0.0,0.0,2147.69,8804.14,14905.09
UPS,Rotterdam-New_York,2025-07-27,-1104.0,0.0,0.0,3810.9,5825.07,1104.34
FedEx,Los_Angeles-Tokyo,2024-10-20,5760.0,2880.0,4800.0,5887.25,16534.04,15710.83
Maersk,London-Singapore,2024-12-26,1440.0,0.0,0.0,0.0,152390.9,2528.78
Maersk,Los_Angeles-Tokyo,2025-08-14,0.0,0.0,0.0,302.06,11877.54,18743.32
Maersk,Shanghai-Rotterdam,2024-10-11,2880.0,0.0,0.0,642.93,32594.94,6964.11
CMA_CGM,Los_Angeles-Tokyo,2025-08-07,-977.0,0.0,0.0,3511.88,10767.42,2254.15
FedEx,Shanghai-Los_Angeles,2025-01-29,5760.0,0.0,0.0,0.0,26594.37,12604.11
CMA_CGM,Los_Angeles-Tokyo,2025-03-03,11520.0,5760.0,7200.0,8089.49,40378.21,16115.57
COSCO,Shanghai-Los_Angeles,2025-01-10,0.0,0.0,0.0,0.0,43919.32,18879.13
CMA_CGM,Singapore-Hamburg,2024-10-24,7200.0,1440.0,1200.0,1874.98,11129.24,17921.61
FedEx,Dubai-London,2024-12-19,5760.0,2880.0,1200.0,2223.24,23076.09,13775.34
FedEx,Singapore-Hamburg,2025-09-18,0.0,0.0,0.0,2062.72,41825.64,7821.33
COSCO,Rotterdam-New_York,2025-05-07,0.0,0.0,0.0,361.79,89753.37,8038.75
FedEx,Singapore-Hamburg,2025-09-04,7200.0,4320.0,3600.0,3600.0,24062.61,13030.32
Kuehne_Nagel,New_York-Hamburg,2025-07-04,0.0,0.0,0.0,0.0,9730.65,14613.43
FedEx,Rotterdam-New_York,2025-01-29,1440.0,0.0,0.0,1090.99,29037.92,19555.57
Maersk,Hong_Kong-Tokyo,2024-12-20,0.0,0.0,0.0,1133.03,36145.53,5659.93
Kuehne_Nagel,Singapore-Hamburg,2025-06-10,-1335.0,0.0,0.0,1003.18,24231.38,846.91
Kuehne_Nagel,New_York-Hamburg,2025-04-10,1440.0,0.0,0.0,1250.38,24874.04,10992.12
COSCO,Shanghai-Rotterdam,2025-03-01,0.0,0.0,0.0,982.93,52051.45,2942.05
DHL,London-Singapore,2025-09-07,0.0,0.0,0.0,3424.07,24411.71,12292.99
DHL,Singapore-Hamburg,2025-09-19,-973.0,0.0,0.0,713.62,2851.52,5042.94
FedEx,Rotterdam-New_York,2025-06-05,-329.0,0.0,0.0,0.0,17774.93,2159.76
Kuehne_Nagel,Rotterdam-New_York,2025-03-26,0.0,0.0,0.0,564.67,4597.26,16815.36
DHL,Hong_Kong-Tokyo,2024-11-23,14400.0,7200.0,9000.0,9450.68,13752.51,17395.46
DHL,New_York-Hamburg,2025-01-09,1440.0,0.0,0.0,2028.44,15960.68,18158.15
FedEx,Rotterdam-New_York,2024-11-22,2880.0,0.0,0.0,598.79,9481.52,5875.71
DHL,Rotterdam-New_York,2025-01-02,-64.0,0.0,0.0,2343.36,31742.6,13992.34
CMA_CGM,Los_Angeles-Tokyo,2025-07-15,5760.0,0.0,0.0,1741.41,7692.13,12634.35
UPS,Singapore-Hamburg,2025-05-05,0.0,0.0,0.0,2464.36,16222.2,1986.03
COSCO,Singapore-Hamburg,2025-04-26,10080.0,7200.0,9000.0,9000.0,14116.22,5382.8
UPS,Mumbai-Dubai,2025-01-09,0.0,0.0,0.0,1479.36,10446.57,17122.51
FedEx,Mumbai-Dubai,2025-07-16,1440.0,0.0,0.0,591.97,42886.1,10062.02
Maersk,Mumbai-Dubai,2025-05-14,0.0,0.0,0.0,798.03,6177.91,1660.35
COSCO,Hong_Kong-Tokyo,2025-03-14,0.0,0.0,0.0,1306.42,51792.84,16749.07
FedEx,Dubai-London,2025-09-12,0.0,0.0,0.0,499.02,45741.41,10308.27
Kuehne_Nagel,New_York-Hamburg,2025-05-13,1440.0,0.0,0.0,716.02,14217.48,843.32
Maersk,Dubai-London,2025-03-03,10080.0,4320.0,5400.0,6862.17,7250.88,5666.92
UPS,Shanghai-Los_Angeles,2025-02-16,5760.0,0.0,0.0,617.7,86197.51,19438.1
FedEx,Los_Angeles-Tokyo,2024-12-23,1440.0,0.0,0.0,2074.09,22765.28,16961.91
Kuehne_Nagel,Los_Angeles-Tokyo,2024-11-21,1440.0,0.0,0.0,460.51,16892.37,3139.28
COSCO,Singapore-Hamburg,2025-04-14,1440.0,0.0,0.0,1810.84,72987.51,17812.85
COSCO,New_York-Hamburg,2025-04-08,-722.0,0.0,0.0,0.0,53503.9,13837.67
MSC,Shanghai-Rotterdam,2024-11-03,2880.0,0.0,0.0,1387.19,26343.83,18263.68
Kuehne_Nagel,Shanghai-Rotterdam,2025-07-19,-676.0,0.0,0.0,823.91,115028.26,3382.85
CMA_CGM,Hong_Kong-Tokyo,2024-10-17,-1043.0,0.0,0.0,0.0,3815.4,13349.45
DHL,Singapore-Hamburg,2025-08-29,0.0,0.0,0.0,606.93,13544.74,19293.02
Maersk,London-Singapore,2024-11-10,2880.0,0.0,0.0,1314.62,20756.11,6850.75
Kuehne_Nagel,Hong_Kong-Tokyo,2024-11-27,1440.0,0.0,0.0,1972.44,70085.13,12900.08
MSC,Singapore-Hamburg,2025-05-30,-872.0,0.0,0.0,1276.82,29837.66,6695.56
DHL,Singapore-Hamburg,2024-11-30,4320.0,0.0,0.0,342.93,5363.59,8155.22
DHL,Shanghai-Los_Angeles,2025-08-02,0.0,0.0,0.0,1030.84,69515.62,1831.42
FedEx,Dubai-London,2025-06-20,0.0,0.0,0.0,897.08,9211.85,12718.97
DHL,New_York-Hamburg,2025-03-11,0.0,0.0,0.0,3128.95,107691.61,13897.1
CMA_CGM,Mumbai-Dubai,2025-05-18,-472.0,0.0,0.0,1193.85,17612.62,6117.13
COSCO,Mumbai-Dubai,2024-10-23,1440.0,0.0,0.0,1069.25,9768.33,14803.95
MSC,Mumbai-Dubai,2025-02-25,1440.0,0.0,0.0,0.0,20210.18,12168.01
DHL,Hong_Kong-Tokyo,2025-02-24,4320.0,0.0,0.0,0.0,26512.34,429.63
FedEx,Rotterdam-New_York,2025-05-18,0.0,0.0,0.0,2051.7,22364.17,1685.9
CMA_CGM,Hong_Kong-Tokyo,2025-03-29,1440.0,0.0,0.0,0.0,17432.75,1327.06
UPS,London-Singapore,2025-04-22,-320.0,0.0,0.0,1287.07,53890.46,7251.84
COSCO,Singapore-Hamburg,2025-01-04,-972.0,0.0,0.0,768.94,117201.45,14746.4
COSCO,London-Singapore,2025-05-01,2880.0,0.0,0.0,0.0,38230.42,7100.36
MSC,Rotterdam-New_York,2025-08-29,5760.0,2880.0,1200.0,1487.58,13498.4,18453.24
COSCO,Dubai-London,2024-10-03,0.0,0.0,0.0,0.0,11986.42,2766.85
DHL,London-Singapore,2025-06-20,0.0,0.0,0.0,919.35,211744.59,13803.7
FedEx,New_York-Hamburg,2025-07-05,0.0,0.0,0.0,1320.68,14372.11,9703.18
COSCO,Shanghai-Rotterdam,2024-11-12,-918.0,0.0,0.0,0.0,172723.77,16259.62
COSCO,London-Singapore,2025-06-20,-1177.0,0.0,0.0,826.15,42982.06,4101.47
UPS,New_York-Hamburg,2025-09-07,0.0,0.0,0.0,2055.68,216161.78,4555.15
UPS,Singapore-Hamburg,2025-04-25,0.0,0.0,0.0,935.69,23540.82,14286.72
Maersk,Rotterdam-New_York,2025-07-17,2880.0,0.0,0.0,1365.44,28976.89,5497.43
CMA_CGM,New_York-Hamburg,2025-01-10,14400.0,10080.0,4200.0,4752.68,40273.6,14050.8
DHL,Mumbai-Dubai,2025-07-24,-583.0,0.0,0.0,1184.72,15733.63,5147.93
COSCO,London-Singapore,2025-06-04,0.0,0.0,0.0,1087.3,8070.47,15070.94
Kuehne_Nagel,Dubai-London,2025-02-08,0.0,0.0,0.0,1611.68,8873.49,2574.42
COSCO,Dubai-London,2024-11-11,-758.0,0.0,0.0,1650.88,17001.71,15243.42
FedEx,London-Singapore,2025-01-20,0.0,0.0,0.0,0.0,15015.71,13688.23
Maersk,London-Singapore,2025-03-16,-788.0,0.0,0.0,563.73,20147.78,14952.68
CMA_CGM,Mumbai-Dubai,2024-11-29,1440.0,0.0,0.0,2165.44,31101.57,15390.85
Kuehne_Nagel,Shanghai-Rotterdam,2025-03-24,0.0,0.0,0.0,0.0,6729.94,4647.0
Maersk,London-Singapore,2024-09-30,0.0,0.0,0.0,2651.69,13378.74,19790.97
MSC,Hong_Kong-Tokyo,2025-07-06,0.0,0.0,0.0,0.0,10004.5,8468.44
CMA_CGM,Los_Angeles-Tokyo,2025-09-04,0.0,0.0,0.0,781.13,7827.93,5996.73
COSCO,London-Singapore,2025-07-05,0.0,0.0,0.0,0.0,24811.41,506.44
COSCO,Shanghai-Los_Angeles,2025-01-09,-1011.0,0.0,0.0,448.84,56713.45,10797.6
CMA_CGM,Shanghai-Los_Angeles,2025-04-11,2880.0,0.0,0.0,1361.03,62793.1,768.7
COSCO,Dubai-London,2025-07-21,0.0,0.0,0.0,0.0,26200.5,13222.78
DHL,Los_Angeles-Tokyo,2024-12-07,0.0,0.0,0.0,0.0,4486.92,16237.46
CMA_CGM,Los_Angeles-Tokyo,2025-04-14,2880.0,0.0,0.0,1847.16,95423.33,17874.13
Maersk,Mumbai-Dubai,2025-09-18,-674.0,0.0,0.0,828.61,87970.77,13851.19
CMA_CGM,Hong_Kong-Tokyo,2024-11-09,-1386.0,0.0,0.0,0.0,19920.24,2556.2
Kuehne_Nagel,London-Singapore,2025-09-02,1440.0,0.0,0.0,0.0,84975.8,15330.73
COSCO,London-Singapore,2025-05-29,0.0,0.0,0.0,709.53,49972.16,5748.35
DHL,Rotterdam-New_York,2025-01-22,0.0,0.0,0.0,421.41,121906.11,14530.61
DHL,Hong_Kong-Tokyo,2025-08-21,-441.0,0.0,0.0,991.73,24611.85,6819.8
MSC,Hong_Kong-Tokyo,2025-06-04,0.0,0.0,0.0,309.44,6431.78,5293.63
Maersk,Rotterdam-New_York,2025-04-14,-220.0,0.0,0.0,610.75,15702.62,8834.83
UPS,Los_Angeles-Tokyo,2025-05-23,0.0,0.0,0.0,556.83,15735.32,13937.67
UPS,London-Singapore,2024-12-15,10080.0,4320.0,3600.0,3600.0,3450.93,646.67
CMA_CGM,Hong_Kong-Tokyo,2024-11-27,0.0,0.0,0.0,1139.04,61426.26,6490.64
MSC,Hong_Kong-Tokyo,2025-02-21,12960.0,5760.0,2400.0,4427.34,76536.87,15374.87
FedEx,Shanghai-Los_Angeles,2025-07-22,-741.0,0.0,0.0,153.97,21590.66,9858.61
CMA_CGM,Shanghai-Los_Angeles,2024-11-30,0.0,0.0,0.0,0.0,30562.6,8256.89
MSC,Shanghai-Los_Angeles,2025-04-26,0.0,0.0,0.0,0.0,32266.38,715.27
Maersk,Los_Angeles-Tokyo,2025-07-28,4320.0,0.0,0.0,2203.64,16120.28,5693.33
Maersk,London-Singapore,2025-09-22,0.0,0.0,0.0,684.62,6861.39,16656.62
Maersk,Rotterdam-New_York,2025-04-22,1440.0,0.0,0.0,831.25,24196.67,434.13
Maersk,Los_Angeles-Tokyo,2025-09-20,4320.0,0.0,0.0,0.0,35845.82,6198.87
Maersk,Mumbai-Dubai,2024-09-29,5760.0,0.0,0.0,186.18,4147.82,14016.16
MSC,Hong_Kong-Tokyo,2025-05-19,0.0,0.0,0.0,569.83,24362.55,16942.92
MSC,Mumbai-Dubai,2025-02-01,-473.0,0.0,0.0,305.38,11328.52,3805.84
DHL,Dubai-London,2025-04-06,1440.0,0.0,0.0,1066.26,6588.19,12185.79
Kuehne_Nagel,Singapore-Hamburg,2024-10-06,4320.0,0.0,0.0,0.0,69246.39,11190.3
UPS,Dubai-London,2024-11-11,-829.0,0.0,0.0,0.0,9655.8,11673.44
COSCO,New_York-Hamburg,2025-09-24,0.0,0.0,0.0,0.0,41315.13,1216.64
Maersk,Los_Angeles-Tokyo,2025-02-16,1440.0,0.0,0.0,1554.01,42973.33,3517.89
FedEx,Los_Angeles-Tokyo,2025-09-05,0.0,0.0,0.0,458.86,27222.87,14690.23
COSCO,Shanghai-Los_Angeles,2025-08-17,-1409.0,0.0,0.0,893.73,38518.76,5665.08
MSC,Hong_Kong-Tokyo,2025-08-08,4320.0,0.0,0.0,0.0,42559.18,15558.13
FedEx,Mumbai-Dubai,2025-01-26,0.0,0.0,0.0,797.61,111959.52,3108.0
FedEx,New_York-Hamburg,2024-12-30,0.0,0.0,0.0,1045.8,11829.57,10785.45
FedEx,London-Singapore,2024-10-21,-1390.0,0.0,0.0,1158.77,5052.46,19160.25
DHL,London-Singapore,2024-12-31,1440.0,0.0,0.0,0.0,9578.62,17164.26
MSC,Mumbai-Dubai,2025-09-04,7200.0,2880.0,4800.0,5138.0,9895.49,13214.35
FedEx,Shanghai-Los_Angeles,2025-05-07,0.0,0.0,0.0,1106.88,19121.5,3119.44
Maersk,Shanghai-Los_Angeles,2024-10-29,-787.0,0.0,0.0,0.0,15488.87,16588.98
CMA_CGM,Shanghai-Rotterdam,2024-11-01,5760.0,0.0,0.0,0.0,44894.26,7583.24
FedEx,Singapore-Hamburg,2025-07-10,-361.0,0.0,0.0,800.75,14367.25,2082.45
DHL,Shanghai-Rotterdam,2025-04-05,7200.0,0.0,0.0,0.0,42158.27,8467.58
COSCO,Hong_Kong-Tokyo,2025-08-11,1440.0,0.0,0.0,1776.99,8740.22,6088.85
MSC,Shanghai-Los_Angeles,2024-10-25,0.0,0.0,0.0,1702.4,142076.9,17267.46
Kuehne_Nagel,Los_Angeles-Tokyo,2025-07-21,4320.0,0.0,0.0,0.0,84791.77,12121.65
DHL,New_York-Hamburg,2025-04-23,1440.0,0.0,0.0,1209.91,97236.57,9856.02
FedEx,Mumbai-Dubai,2025-07-23,-1038.0,0.0,0.0,1877.51,11988.18,1181.24
MSC,Rotterdam-New_York,2024-11-16,1440.0,0.0,0.0,0.0,11290.29,16492.2
CMA_CGM,New_York-Hamburg,2024-11-17,0.0,0.0,0.0,603.6,22816.69,2698.69
FedEx,Rotterdam-New_York,2025-06-12,0.0,0.0,0.0,869.31,11542.96,13815.64
DHL,Mumbai-Dubai,2025-04-01,-572.0,0.0,0.0,0.0,54314.48,8999.18
UPS,London-Singapore,2025-04-30,1440.0,0.0,0.0,0.0,23356.39,13813.15
Maersk,Dubai-London,2024-12-02,1440.0,0.0,0.0,1857.23,39016.45,13900.61
Kuehne_Nagel,Mumbai-Dubai,2025-01-09,8640.0,2880.0,4800.0,4800.0,79530.06,19074.98
COSCO,Dubai-London,2025-04-21,2880.0,0.0,0.0,1649.67,17692.94,14437.35
DHL,Singapore-Hamburg,2025-09-02,2880.0,0.0,0.0,4027.25,16697.15,17834.16
MSC,Los_Angeles-Tokyo,2025-05-22,0.0,0.0,0.0,0.0,43269.55,16396.21
